"TransactionAmount","TransactionDuration","LoginAttempts","AccountBalance","CustomerAge","TransactionType","Location","Channel"
"376.79","265","1","7749.14","68","Debit","Milwaukee","Branch"
"8.98","56","1","4516.76","66","Debit","Detroit","Online"
"697.32","91","1","2016.02","68","Debit","Atlanta","Online"
"17.45","88","1","1959.52","18","Debit","Omaha","ATM"
"302.16","138","5","3876.61","80","Debit","Kansas City","Online"
"442.74","136","1","1790.27","23","Debit","San Diego","Branch"
"623.9","249","1","711.47","27","Debit","San Jose","ATM"
"445.41","235","3","12154.66","35","Debit","Fresno","ATM"
"63.41","36","1","1546.22","26","Debit","Fort Worth","ATM"
"346.85","88","1","7208.15","44","Debit","Kansas City","ATM"
"71.95","53","1","9267.32","59","Credit","Omaha","Online"
"7.5","36","1","6485.78","63","Debit","Dallas","Online"
"206.46","279","1","3984.38","65","Debit","Virginia Beach","ATM"
"423.11","47","1","412.78","60","Debit","Columbus","ATM"
"35.84","172","1","4795.65","54","Credit","Colorado Springs","Online"
"88.6","105","1","246.57","28","Credit","Raleigh","Branch"
"1431.3","168","1","1058.13","18","Debit","Oklahoma City","ATM"
"53.81","37","2","2564.62","55","Credit","Raleigh","ATM"
"22.46","78","1","6631.5","54","Debit","New York","Online"
"334.89","260","1","1661.68","21","Debit","Fort Worth","Online"
"319.27","59","1","5504.01","54","Credit","Omaha","Online"
"144.3","88","1","312.19","18","Debit","Oklahoma City","ATM"
"348.7","149","1","2445.58","69","Credit","Fresno","Branch"
"366.21","181","1","10862.99","62","Debit","Oklahoma City","ATM"
"99.11","12","1","5414.87","55","Debit","Philadelphia","Online"
"539.35","127","1","3919.44","55","Debit","Milwaukee","ATM"
"188.99","92","1","7315.34","58","Debit","Oklahoma City","Branch"
"1416.69","58","1","3740.73","46","Debit","Nashville","ATM"
"710.14","227","1","465.63","26","Debit","El Paso","ATM"
"308.68","170","1","9992.36","53","Debit","Milwaukee","Online"
"166.68","139","1","5141.19","57","Debit","Mesa","ATM"
"0.99","133","1","4317.85","45","Debit","Los Angeles","ATM"
"505.19","128","5","5326.68","30","Debit","Kansas City","ATM"
"66.58","79","1","1636.32","23","Debit","Raleigh","Branch"
"223.43","178","1","7932.41","77","Debit","Dallas","Branch"
"659.95","114","1","3927.69","60","Debit","Detroit","Online"
"634.86","45","1","588.5","27","Debit","Chicago","ATM"
"286.5","60","1","8517.95","30","Credit","Boston","Branch"
"322.96","168","1","2401.59","76","Credit","Philadelphia","Branch"
"654.48","114","1","6776.41","19","Debit","Columbus","Branch"
"157.97","140","1","5529.92","48","Debit","Philadelphia","Branch"
"120.9","52","1","9009.42","40","Debit","Tucson","Branch"
"254.77","57","1","5994.87","57","Debit","Denver","Branch"
"795.96","119","1","5468.58","65","Debit","Raleigh","Online"
"149.25","142","1","5677.52","39","Debit","Omaha","ATM"
"3.42","158","1","14180.21","43","Credit","San Antonio","Online"
"68.19","189","1","9895.1","40","Credit","Fresno","Online"
"493.42","111","1","2232.84","39","Debit","Baltimore","Branch"
"37.57","42","1","7739.54","57","Debit","El Paso","ATM"
"127.0","68","5","431.16","19","Credit","Nashville","Branch"
"96.89","53","1","6044.93","59","Debit","Sacramento","ATM"
"448.33","161","1","922.19","25","Debit","Atlanta","ATM"
"1116.48","55","1","447.53","51","Debit","San Diego","ATM"
"8.65","273","1","10778.35","48","Debit","Las Vegas","Online"
"65.57","82","1","7513.79","41","Debit","Miami","Online"
"539.81","177","1","2051.25","46","Debit","San Francisco","Online"
"363.53","142","1","1038.91","63","Debit","Kansas City","ATM"
"64.9","72","1","6854.61","51","Credit","Detroit","Branch"
"358.18","157","1","619.86","18","Debit","Boston","ATM"
"167.2","84","1","11320.83","30","Debit","San Antonio","Branch"
"121.91","133","1","14510.8","60","Debit","Chicago","Branch"
"137.57","70","1","5103.67","54","Debit","Louisville","Online"
"534.62","45","1","13793.53","55","Debit","Oklahoma City","Online"
"463.92","199","1","2403.39","50","Debit","Mesa","Online"
"320.14","96","1","3075.97","60","Debit","Milwaukee","Online"
"214.93","52","1","7835.4","28","Debit","Albuquerque","Online"
"660.02","84","1","414.43","20","Debit","Nashville","Branch"
"345.81","135","1","6116.8","40","Debit","Raleigh","Branch"
"143.54","80","1","6067.62","71","Debit","Philadelphia","ATM"
"42.55","29","1","7341.43","53","Debit","Seattle","Branch"
"1063.25","128","1","1240.71","21","Credit","Omaha","Online"
"541.79","125","1","1454.08","22","Debit","Mesa","ATM"
"40.57","63","1","1476.91","26","Debit","Columbus","Branch"
"120.24","131","2","1943.13","18","Debit","Milwaukee","Branch"
"498.67","244","1","1719.97","28","Debit","Miami","Online"
"227.22","220","1","832.82","53","Debit","El Paso","ATM"
"1182.86","34","1","7696.16","30","Debit","Tucson","Online"
"56.94","74","1","7004.63","76","Credit","Charlotte","Online"
"629.82","159","1","6385.69","68","Debit","Colorado Springs","ATM"
"59.44","176","1","5472.03","35","Debit","Chicago","Online"
"186.69","54","1","8602.22","30","Debit","New York","Branch"
"230.46","179","1","162.53","19","Debit","Mesa","Online"
"65.09","159","1","9370.9","44","Credit","Seattle","Online"
"457.09","63","1","8570.82","55","Credit","Nashville","Online"
"552.02","100","1","522.08","44","Credit","Chicago","ATM"
"377.12","61","1","836.67","34","Debit","Houston","ATM"
"204.56","179","1","364.72","18","Credit","San Diego","Branch"
"420.28","144","1","8557.32","35","Debit","Washington","Branch"
"97.09","202","4","1579.57","24","Debit","Fort Worth","ATM"
"124.59","171","1","129.29","27","Debit","Charlotte","Branch"
"73.88","34","1","6474.41","39","Debit","Charlotte","Online"
"77.43","169","1","1380.21","21","Debit","Raleigh","Online"
"106.16","277","4","7487.79","56","Debit","Phoenix","ATM"
"245.93","172","1","7986.63","54","Debit","Fresno","Branch"
"622.41","125","1","7322.01","64","Debit","Indianapolis","ATM"
"43.73","145","1","9929.43","34","Debit","Omaha","ATM"
"1282.86","68","1","1830.98","19","Debit","Austin","Branch"
"2.03","28","1","3012.31","33","Credit","Detroit","ATM"
"770.65","137","1","7198.8","31","Debit","Jacksonville","Online"
"260.31","113","1","10980.38","63","Debit","Austin","Branch"
"356.1","187","1","868.35","26","Credit","Fort Worth","Branch"
"27.07","39","1","3773.29","80","Credit","Virginia Beach","Branch"
"119.89","60","1","6697.77","67","Debit","Tucson","ATM"
"106.39","281","1","9410.99","37","Debit","Virginia Beach","Online"
"12.04","58","1","6213.32","37","Debit","Fort Worth","Online"
"365.7","115","2","368.78","21","Debit","Houston","Branch"
"29.38","63","1","1663.31","28","Credit","Baltimore","Branch"
"319.85","148","1","711.66","60","Debit","Denver","ATM"
"350.14","38","1","2403.25","75","Credit","Los Angeles","Online"
"163.94","73","1","5957.37","52","Credit","Virginia Beach","Branch"
"170.53","58","1","801.01","24","Debit","Oklahoma City","Branch"
"262.22","136","1","5711.71","40","Credit","Baltimore","ATM"
"41.49","13","1","928.33","24","Debit","Albuquerque","Online"
"121.43","243","1","7365.28","52","Credit","Sacramento","Branch"
"350.46","165","1","5839.38","51","Debit","Nashville","Branch"
"220.41","155","1","5116.98","26","Credit","El Paso","Online"
"33.46","111","1","3641.07","72","Debit","Seattle","ATM"
"104.79","223","1","1352.19","70","Debit","Denver","ATM"
"246.27","141","1","7299.86","29","Debit","Fresno","Online"
"48.85","176","1","1503.56","19","Debit","Dallas","ATM"
"332.0","17","1","5943.13","69","Debit","Charlotte","ATM"
"118.1","167","1","895.66","54","Debit","Memphis","Online"
"84.59","10","1","5669.1","67","Credit","Las Vegas","Branch"
"295.64","82","1","1061.96","21","Debit","Jacksonville","Online"
"514.33","160","1","1592.94","25","Debit","Philadelphia","Branch"
"992.17","169","1","6215.96","43","Debit","San Antonio","ATM"
"94.59","34","1","6171.89","39","Debit","Washington","Online"
"80.43","157","1","5987.67","59","Debit","Columbus","Branch"
"54.25","37","1","14783.33","68","Debit","Virginia Beach","Online"
"178.88","93","4","4708.29","76","Credit","Dallas","Branch"
"518.85","82","1","1806.0","22","Debit","Kansas City","Online"
"10.65","161","1","13240.72","54","Debit","Louisville","Online"
"198.62","84","1","1196.07","27","Credit","Tucson","Branch"
"107.03","73","1","1408.07","27","Debit","Miami","Branch"
"139.57","263","3","271.78","19","Debit","Fort Worth","ATM"
"312.47","148","4","9419.27","49","Debit","Milwaukee","ATM"
"346.11","213","1","9551.64","41","Debit","Dallas","Branch"
"138.06","159","1","1070.47","44","Debit","Charlotte","Branch"
"158.02","120","1","9374.24","49","Debit","New York","ATM"
"830.01","96","1","4253.18","66","Credit","Chicago","Online"
"435.5","112","1","6981.03","55","Debit","Oklahoma City","ATM"
"110.49","48","1","10483.93","57","Debit","Raleigh","Online"
"329.4","68","1","9588.07","34","Debit","Denver","Online"
"635.4","106","1","1238.11","47","Debit","Denver","ATM"
"769.97","23","1","1244.93","22","Debit","San Diego","Branch"
"175.07","169","1","1040.25","26","Debit","Colorado Springs","Branch"
"7.31","282","1","5757.67","78","Debit","Las Vegas","Branch"
"175.15","32","1","1712.65","27","Debit","Detroit","ATM"
"32.54","183","4","1544.88","25","Debit","Oklahoma City","Online"
"121.82","119","1","13293.83","60","Debit","Dallas","Online"
"56.12","102","1","8839.67","30","Debit","El Paso","ATM"
"424.7","178","1","6239.89","56","Credit","Miami","Online"
"35.16","130","1","8459.18","32","Debit","Chicago","Branch"
"35.73","87","1","9073.17","65","Debit","Miami","Branch"
"3.44","108","1","7561.33","78","Debit","Fort Worth","ATM"
"1342.25","235","1","694.03","21","Credit","Fort Worth","Branch"
"139.03","81","1","2276.57","50","Credit","Los Angeles","Online"
"254.92","169","1","2791.12","28","Credit","San Antonio","ATM"
"115.11","139","1","9808.97","28","Debit","Albuquerque","Online"
"171.11","171","1","6324.09","57","Debit","San Francisco","ATM"
"168.54","142","2","13406.0","70","Debit","Oklahoma City","ATM"
"420.76","76","1","6581.55","51","Debit","Miami","Branch"
"408.46","28","1","3140.79","64","Debit","Raleigh","Branch"
"1162.42","45","1","10357.26","30","Credit","Detroit","Online"
"342.17","247","1","461.83","21","Credit","New York","Branch"
"580.71","95","1","5670.0","53","Debit","Philadelphia","ATM"
"821.54","36","1","4040.32","79","Credit","Atlanta","Branch"
"253.47","238","1","220.51","20","Debit","Atlanta","Branch"
"22.81","75","1","3634.76","62","Debit","New York","Online"
"266.57","96","1","7180.48","39","Credit","Boston","Online"
"374.61","37","1","1389.71","75","Credit","Mesa","Online"
"339.35","70","1","5002.7","78","Credit","Boston","ATM"
"810.36","67","1","9239.12","20","Debit","Columbus","ATM"
"9.83","86","1","666.42","24","Debit","Memphis","ATM"
"135.57","116","1","11351.64","51","Credit","Boston","Branch"
"340.05","37","1","7234.15","43","Debit","Detroit","ATM"
"283.45","127","1","2049.51","27","Debit","Colorado Springs","Branch"
"100.99","114","1","8865.27","68","Debit","New York","ATM"
"90.88","176","1","3908.47","18","Debit","Albuquerque","Branch"
"655.15","264","1","5587.44","26","Debit","Seattle","ATM"
"320.55","118","1","438.75","50","Debit","Milwaukee","Online"
"41.51","48","1","609.6","28","Debit","Phoenix","Online"
"71.53","39","1","2393.73","68","Credit","Jacksonville","Branch"
"467.13","45","1","3914.84","54","Credit","Kansas City","Branch"
"235.4","70","1","818.36","28","Debit","Detroit","Branch"
"159.32","100","1","304.44","18","Debit","Seattle","Branch"
"50.83","48","1","9553.42","30","Credit","Philadelphia","Online"
"56.89","56","1","3034.67","59","Credit","Houston","Branch"
"20.22","138","1","5515.32","43","Debit","Jacksonville","ATM"
"50.4","84","1","1677.01","36","Debit","San Antonio","Branch"
"73.88","131","1","4055.55","53","Debit","Los Angeles","Branch"
"119.61","53","1","9899.94","33","Debit","San Diego","ATM"
"1241.05","129","1","756.74","18","Debit","Miami","Branch"
"116.58","247","1","2620.74","43","Debit","Raleigh","Branch"
"1919.11","161","1","11090.24","30","Debit","Portland","ATM"
"391.96","79","1","2174.16","64","Debit","Nashville","ATM"
"156.26","160","1","7854.1","46","Credit","Virginia Beach","Branch"
"427.0","163","1","8253.65","49","Credit","Oklahoma City","Branch"
"443.68","137","1","874.15","18","Debit","Tucson","ATM"
"101.76","26","1","6043.25","31","Debit","Philadelphia","Branch"
"67.57","107","1","2766.12","37","Debit","Charlotte","Branch"
"326.29","179","1","8171.26","56","Debit","Denver","Online"
"158.56","100","1","5401.21","33","Debit","Sacramento","ATM"
"56.02","142","1","3548.02","27","Debit","Memphis","Online"
"288.28","36","1","160.83","27","Debit","Portland","Online"
"245.67","107","1","752.25","24","Credit","Portland","Branch"
"152.18","176","4","2459.84","39","Credit","Los Angeles","Online"
"114.35","21","1","469.12","41","Credit","El Paso","Branch"
"373.27","79","1","8441.61","61","Credit","Miami","Online"
"504.63","168","1","3806.16","60","Debit","Portland","Online"
"126.22","77","4","6133.41","46","Debit","Atlanta","ATM"
"820.15","181","1","8802.97","47","Debit","Kansas City","Branch"
"986.81","127","1","14881.77","68","Credit","Houston","Online"
"8.37","135","1","1106.34","63","Debit","Colorado Springs","ATM"
"197.49","30","1","5005.33","53","Credit","Fresno","Online"
"637.97","90","1","7949.03","58","Debit","New York","Branch"
"13.52","65","1","259.77","26","Debit","Seattle","ATM"
"432.1","240","1","2114.3","49","Debit","San Francisco","ATM"
"375.17","66","2","5495.3","51","Debit","Fort Worth","ATM"
"642.68","94","1","8461.46","50","Debit","Fresno","Branch"
"78.44","292","1","6870.84","52","Credit","San Jose","Online"
"139.72","201","1","5058.83","49","Debit","Memphis","Branch"
"499.99","296","1","8885.0","31","Debit","San Jose","Branch"
"10.07","49","1","530.81","24","Debit","Albuquerque","Online"
"120.62","85","1","9379.53","23","Debit","Raleigh","ATM"
"578.49","180","1","6475.13","59","Debit","Nashville","Branch"
"119.3","22","5","319.04","34","Debit","Mesa","Branch"
"280.92","168","1","5298.85","41","Debit","Phoenix","Online"
"42.42","102","1","490.57","21","Debit","Sacramento","Online"
"77.03","259","1","11310.27","67","Debit","Fresno","ATM"
"22.59","45","1","3988.75","62","Debit","Seattle","ATM"
"568.76","155","1","7484.32","51","Debit","Baltimore","ATM"
"25.94","211","5","4815.11","58","Credit","San Jose","Online"
"105.94","207","1","5963.1","51","Debit","Oklahoma City","Branch"
"733.29","94","5","10427.0","52","Debit","Virginia Beach","ATM"
"350.15","195","1","296.47","21","Credit","Fresno","ATM"
"1151.18","105","1","1100.06","65","Debit","Kansas City","ATM"
"183.67","238","1","910.26","19","Debit","San Diego","Online"
"278.27","123","1","6684.34","29","Debit","Tucson","Branch"
"470.3","88","1","8524.09","40","Debit","Austin","ATM"
"261.69","84","1","5126.65","53","Debit","Philadelphia","ATM"
"365.04","94","1","873.89","22","Debit","Virginia Beach","Branch"
"211.1","136","1","7059.77","57","Debit","Miami","Branch"
"21.49","240","1","11991.24","58","Debit","Denver","ATM"
"63.58","199","1","8086.04","18","Debit","Columbus","ATM"
"321.86","167","1","12626.49","63","Debit","San Antonio","ATM"
"12.11","127","1","1730.28","75","Debit","Jacksonville","Branch"
"642.54","28","1","3143.17","44","Debit","Milwaukee","Branch"
"210.45","146","1","1242.49","27","Debit","Las Vegas","ATM"
"313.65","173","1","1886.36","55","Credit","Chicago","Branch"
"99.76","131","1","416.89","26","Debit","Sacramento","Branch"
"115.32","113","1","5929.08","53","Debit","Denver","Branch"
"33.61","72","1","479.08","23","Debit","Milwaukee","Online"
"498.59","32","1","5862.99","33","Credit","Oklahoma City","Online"
"98.81","91","1","797.1","27","Debit","San Francisco","Branch"
"1.87","147","1","7287.94","65","Debit","Washington","ATM"
"78.92","95","1","5624.86","59","Credit","Jacksonville","Online"
"194.29","10","1","2988.41","39","Credit","Seattle","Branch"
"28.73","185","1","2712.96","53","Debit","Kansas City","ATM"
"105.53","88","1","1433.66","24","Debit","Colorado Springs","Online"
"737.34","34","1","7336.56","30","Debit","Miami","Online"
"237.86","210","1","475.63","18","Debit","Philadelphia","ATM"
"409.61","89","1","11698.15","65","Debit","Kansas City","Branch"
"75.53","157","1","1034.35","21","Credit","Fresno","Online"
"72.75","15","1","12042.79","64","Debit","Phoenix","ATM"
"39.11","143","1","518.54","26","Debit","Columbus","Online"
"1309.79","139","1","1258.93","23","Debit","San Francisco","ATM"
"729.38","90","1","9127.65","68","Debit","Los Angeles","ATM"
"137.49","50","1","4471.05","34","Debit","Fort Worth","ATM"
"504.71","61","1","6214.54","29","Debit","Detroit","Online"
"371.47","58","1","1187.04","24","Credit","Milwaukee","Branch"
"430.35","205","1","354.9","36","Debit","Charlotte","Online"
"230.32","56","1","791.46","35","Debit","Las Vegas","Branch"
"121.71","140","1","5878.89","52","Debit","Chicago","ATM"
"98.87","179","1","533.2","20","Debit","Detroit","Online"
"117.55","35","1","897.94","24","Debit","Fresno","ATM"
"244.64","103","1","9159.56","30","Debit","Tucson","Branch"
"321.93","12","1","4392.73","45","Debit","Nashville","ATM"
"1092.73","11","1","1390.98","58","Debit","Columbus","Branch"
"283.23","98","1","2008.77","40","Debit","El Paso","Online"
"346.65","60","1","6356.96","30","Debit","Washington","Online"
"381.62","164","1","6009.12","64","Debit","Las Vegas","Online"
"388.65","43","1","7896.85","76","Debit","Oklahoma City","ATM"
"29.22","151","1","1649.43","24","Debit","San Antonio","ATM"
"46.75","150","1","2840.43","67","Debit","Colorado Springs","Branch"
"348.64","128","1","3274.96","57","Debit","San Jose","Online"
"319.17","81","1","6501.56","73","Debit","Tucson","Online"
"73.95","76","1","363.92","26","Debit","Kansas City","ATM"
"389.63","99","1","9748.48","27","Debit","Mesa","Online"
"217.61","45","1","1404.53","19","Debit","Chicago","ATM"
"199.84","150","1","706.44","21","Debit","Dallas","ATM"
"56.35","75","1","5095.73","44","Debit","Charlotte","ATM"
"248.95","29","1","3059.79","65","Credit","San Francisco","Branch"
"142.58","145","1","7844.23","33","Debit","San Antonio","ATM"
"1020.73","87","1","1119.61","28","Debit","Fort Worth","ATM"
"84.34","248","3","5313.97","58","Debit","Memphis","Online"
"1607.55","156","1","6227.99","31","Debit","Phoenix","ATM"
"333.78","98","1","6810.94","60","Debit","San Diego","ATM"
"332.59","143","1","1457.07","55","Debit","San Antonio","Online"
"236.81","15","1","813.68","22","Debit","Oklahoma City","Branch"
"417.8","130","1","1518.82","27","Credit","Philadelphia","Branch"
"319.27","150","1","10269.78","50","Debit","San Antonio","ATM"
"384.1","172","1","672.79","42","Debit","Detroit","Branch"
"820.62","158","1","6024.8","61","Credit","Fresno","Branch"
"474.77","50","1","2158.59","56","Credit","Indianapolis","Online"
"542.72","92","1","6011.8","43","Credit","Indianapolis","Branch"
"79.8","76","1","6372.58","73","Debit","Fort Worth","ATM"
"46.24","52","1","2569.56","57","Debit","San Diego","Branch"
"327.8","54","1","10585.48","61","Debit","San Francisco","ATM"
"445.79","161","1","717.99","52","Debit","Las Vegas","ATM"
"55.89","150","1","3689.65","72","Debit","Fresno","Online"
"158.41","16","1","1512.16","28","Debit","Sacramento","Branch"
"101.19","75","1","14389.45","64","Credit","Denver","Online"
"827.14","265","4","9800.21","36","Debit","El Paso","Branch"
"61.97","95","1","7014.69","74","Debit","Phoenix","ATM"
"27.21","102","1","3520.61","79","Debit","San Jose","ATM"
"173.74","64","1","4913.42","80","Debit","Houston","Online"
"176.11","105","1","9155.35","38","Debit","San Jose","Branch"
"88.4","174","1","2567.53","46","Debit","Fort Worth","Online"
"567.92","14","1","3779.47","53","Debit","Columbus","Online"
"138.11","104","1","4177.65","68","Credit","Phoenix","Online"
"456.93","193","1","7284.76","28","Credit","Virginia Beach","Branch"
"101.42","146","1","6530.59","66","Debit","Atlanta","Online"
"300.61","51","1","7895.54","44","Debit","El Paso","Online"
"265.94","132","1","6781.3","54","Debit","Boston","Online"
"345.54","50","1","2091.78","29","Debit","San Diego","Online"
"411.52","88","1","11108.39","41","Debit","Los Angeles","ATM"
"111.21","111","1","9088.36","35","Debit","Portland","Branch"
"316.37","86","1","4671.69","53","Debit","Colorado Springs","ATM"
"260.63","142","1","7534.73","37","Debit","Fort Worth","Branch"
"92.36","144","1","6353.14","29","Debit","Dallas","ATM"
"262.06","118","1","13587.52","63","Debit","Oklahoma City","Branch"
"64.5","230","1","1351.24","74","Debit","Denver","ATM"
"253.55","85","5","2797.26","28","Debit","Jacksonville","ATM"
"408.28","125","3","1222.77","21","Credit","Nashville","Branch"
"175.94","89","1","3728.04","57","Debit","Indianapolis","ATM"
"199.47","142","1","6067.44","57","Debit","Detroit","Online"
"51.07","133","1","4292.16","63","Debit","Dallas","Branch"
"435.86","134","1","3801.82","56","Debit","Jacksonville","ATM"
"74.73","162","1","6353.22","64","Credit","Jacksonville","Branch"
"182.79","14","1","1251.85","23","Credit","Louisville","Online"
"628.36","108","1","11869.71","44","Debit","Austin","Online"
"268.39","177","1","9409.43","29","Debit","San Antonio","Online"
"362.27","47","1","6003.59","80","Debit","Jacksonville","ATM"
"560.15","92","1","817.83","50","Credit","Memphis","Online"
"351.99","45","2","3663.64","80","Debit","Chicago","ATM"
"132.36","160","1","319.65","28","Debit","Colorado Springs","Branch"
"24.77","17","1","478.23","40","Credit","Nashville","Online"
"668.67","143","4","13446.81","44","Debit","Detroit","Online"
"80.24","58","1","8012.81","53","Credit","New York","Branch"
"8.65","198","1","4201.22","68","Debit","Mesa","ATM"
"178.91","19","1","8870.89","18","Debit","Omaha","ATM"
"115.22","108","1","906.2","27","Debit","San Francisco","Branch"
"161.63","276","1","9286.37","46","Debit","San Jose","Online"
"542.75","63","1","2224.08","70","Credit","Nashville","Branch"
"317.47","16","1","14639.28","67","Credit","Sacramento","Online"
"280.99","29","1","9733.59","45","Debit","Houston","Branch"
"24.19","28","1","2756.2","29","Debit","San Diego","ATM"
"586.85","86","1","6655.15","36","Debit","Mesa","ATM"
"372.41","143","1","3233.87","55","Debit","San Diego","ATM"
"63.17","148","1","1676.57","20","Debit","Fresno","ATM"
"383.69","285","1","8371.11","54","Debit","Colorado Springs","Online"
"247.17","149","1","2611.64","65","Credit","Chicago","Branch"
"48.78","136","1","552.06","18","Credit","Kansas City","Branch"
"4.15","119","1","6017.36","60","Credit","Omaha","Branch"
"60.99","58","1","7281.46","34","Debit","Oklahoma City","Branch"
"408.19","241","1","6847.47","26","Debit","Mesa","Branch"
"524.6","76","1","13017.7","58","Debit","El Paso","Branch"
"108.96","247","1","7597.66","26","Debit","Milwaukee","ATM"
"70.03","49","1","7330.31","63","Debit","Nashville","Branch"
"124.84","79","1","6711.78","52","Debit","Louisville","Online"
"324.04","30","1","2248.06","54","Debit","Virginia Beach","ATM"
"39.69","163","1","3524.68","70","Debit","Austin","Online"
"157.7","46","1","8332.58","58","Credit","Omaha","Branch"
"81.27","68","1","1814.48","22","Credit","Seattle","Online"
"193.82","176","1","3886.77","37","Debit","Kansas City","Branch"
"16.73","165","1","7591.13","79","Debit","Omaha","Online"
"474.05","214","1","1484.31","57","Debit","San Jose","ATM"
"39.21","245","4","9385.57","66","Debit","Miami","ATM"
"637.75","152","1","4202.92","79","Debit","Dallas","Branch"
"153.59","174","1","4813.12","66","Credit","Portland","Branch"
"186.6","139","1","9716.68","18","Debit","Tucson","Branch"
"644.08","55","1","1980.62","24","Debit","Atlanta","Online"
"226.66","168","1","10216.25","41","Debit","Austin","Branch"
"305.0","222","1","944.83","22","Debit","Phoenix","ATM"
"233.1","37","1","7469.2","42","Credit","Nashville","Branch"
"793.13","76","1","13389.16","68","Debit","Memphis","Online"
"224.19","93","1","8475.47","52","Debit","Houston","ATM"
"214.83","63","1","991.69","23","Credit","Tucson","ATM"
"163.46","111","1","6953.8","63","Credit","Baltimore","Branch"
"194.99","91","1","1370.03","34","Debit","Jacksonville","Branch"
"23.4","175","4","14851.28","46","Debit","El Paso","ATM"
"227.5","277","1","11505.35","34","Debit","Sacramento","Online"
"259.9","100","1","914.28","26","Debit","Oklahoma City","Online"
"59.51","55","1","9955.88","36","Credit","Dallas","Online"
"50.63","143","1","4732.81","64","Debit","Columbus","Online"
"1074.95","91","1","530.86","20","Debit","Jacksonville","Branch"
"112.94","31","1","3807.84","73","Credit","San Antonio","Online"
"11.81","131","1","320.25","21","Debit","Phoenix","ATM"
"329.14","14","1","12033.92","55","Debit","Sacramento","Branch"
"154.24","82","1","6109.55","61","Debit","Mesa","ATM"
"233.44","297","1","1691.88","20","Debit","Chicago","Online"
"141.8","116","1","1697.67","18","Debit","Chicago","ATM"
"209.03","126","1","8359.5","55","Debit","Detroit","Branch"
"1137.63","144","1","1629.12","26","Debit","Baltimore","ATM"
"261.14","162","1","6100.08","42","Debit","San Antonio","ATM"
"101.81","105","1","13872.03","45","Debit","Fort Worth","ATM"
"98.71","117","1","10095.23","32","Debit","Fort Worth","ATM"
"87.38","252","1","1504.99","21","Debit","Atlanta","Branch"
"83.39","158","1","13182.11","32","Debit","Omaha","Branch"
"267.55","40","1","4330.04","46","Debit","Charlotte","Online"
"870.05","39","1","905.25","29","Debit","El Paso","ATM"
"154.32","269","1","6972.5","38","Credit","Tucson","ATM"
"164.51","110","1","3553.69","78","Debit","Louisville","Branch"
"758.12","90","1","6164.65","69","Debit","San Francisco","ATM"
"103.76","188","1","9626.14","28","Debit","Kansas City","Online"
"583.92","139","1","6364.14","55","Debit","Kansas City","Online"
"204.06","159","1","4351.83","77","Debit","Washington","Online"
"53.51","165","1","5773.5","56","Debit","New York","Online"
"1108.46","262","1","9257.04","30","Debit","Los Angeles","Branch"
"52.95","14","1","6335.58","68","Credit","Charlotte","Online"
"120.17","105","1","5403.79","49","Debit","Portland","ATM"
"220.8","28","1","8135.31","31","Debit","Indianapolis","Online"
"119.01","87","1","9798.26","45","Debit","Philadelphia","ATM"
"183.32","74","1","137.42","21","Debit","Raleigh","ATM"
"858.88","227","1","7015.46","60","Debit","Jacksonville","Online"
"11.46","128","1","2356.71","41","Credit","San Francisco","Online"
"61.37","164","1","4294.44","75","Debit","Columbus","Branch"
"103.08","150","1","9251.38","49","Credit","Milwaukee","Branch"
"1.21","196","1","7542.74","55","Debit","Atlanta","Branch"
"425.18","172","1","9880.71","26","Credit","Colorado Springs","Online"
"60.96","238","1","6189.24","52","Debit","Colorado Springs","ATM"
"64.21","37","1","12540.18","51","Debit","Omaha","ATM"
"523.02","83","1","4586.11","53","Debit","Jacksonville","Online"
"50.26","164","1","1519.38","65","Debit","Las Vegas","Branch"
"110.08","95","1","1447.26","19","Debit","Detroit","Branch"
"54.47","34","1","1131.42","23","Credit","Philadelphia","Branch"
"79.76","115","1","10278.75","68","Debit","Kansas City","Online"
"16.79","146","1","535.15","30","Credit","Detroit","Online"
"1531.31","62","4","859.86","18","Debit","San Diego","Online"
"68.62","157","1","13891.47","29","Debit","Omaha","Branch"
"157.16","280","1","1545.77","20","Debit","New York","Branch"
"643.38","105","1","1046.74","18","Credit","Detroit","Online"
"328.34","31","1","2840.45","42","Credit","San Diego","Online"
"72.68","44","1","6216.77","69","Debit","Seattle","Online"
"354.76","279","1","10141.92","51","Debit","Detroit","Branch"
"793.88","252","1","1404.06","22","Credit","Los Angeles","ATM"
"29.22","69","1","7795.79","27","Debit","Detroit","ATM"
"653.97","100","1","3886.65","37","Debit","Miami","Online"
"366.43","92","1","1560.45","21","Credit","Portland","Online"
"120.86","162","4","13566.58","33","Debit","Colorado Springs","Online"
"233.74","142","1","4749.54","72","Debit","Boston","Online"
"471.84","138","1","1044.33","18","Debit","Raleigh","ATM"
"213.4","100","1","2012.24","73","Credit","Fort Worth","Branch"
"254.21","46","1","2487.2","48","Debit","Phoenix","ATM"
"577.73","63","1","14977.99","37","Debit","San Jose","ATM"
"170.26","265","1","1969.48","27","Debit","Chicago","ATM"
"337.73","107","4","7001.2","78","Debit","San Antonio","Online"
"330.61","113","1","2525.25","64","Credit","Nashville","Branch"
"132.33","47","1","7457.94","35","Credit","Phoenix","ATM"
"672.74","118","1","5386.52","46","Credit","Colorado Springs","Branch"
